from_letter,to_letter,count,probability
e,g,35341,0.008681472900151394
e,f,29344,0.007208317274045513
e,i,28823,0.007080334269009468
e,o,26478,0.006504287921966232
e,j,22226,0.00545978938566438
e,v,21629,0.005313137074711369
e,h,21058,0.005172871631572057
e,u,15502,0.003808047109536994
e,c,11957,0.0029372222480153424
e,x,1392,0.00034194307679496165
e,q,35,8.59770667228711e-6
f,u,154253,0.3979572355861016
f,a,89154,0.23000835887433826
f,i,55530,0.14326181851955047
f,e,34566,0.08917680567165104
f,o,33833,0.08728573934759502
f,w,10314,0.02660908331011424
f,r,5211,0.013443856227361382
f,y,1909,0.0049250281209044094
f,l,1493,0.0038517899342641613
f,f,598,0.0015427798932953572
f,t,219,0.0005649979876784
f,k,127,0.00032764723486372973
f,m,120,0.0003095879384539178
f,s,104,0.0002683095466600621
f,h,57,0.00014705427076561097
f,b,33,0.0000851366830748274
f,n,32,0.00008255678358771143
f,d,20,0.00005159798974231964
f,g,18,0.00004643819076808767
f,p,6,0.000015479396922695892
f,j,4,0.000010319597948463928
f,q,4,0.000010319597948463928
f,z,3,7.739698461347946e-6
f,c,3,7.739698461347946e-6
f,v,1,2.579899487115982e-6
g,a,1160857,0.38659846686999166
g,o,763927,0.254409463870737
g,u,355782,0.11848554623001746
g,e,282357,0.09403292852608912
g,i,236429,0.07873759552089987
g,b,66319,0.022086117174079992
g,w,62154,0.020699053466393762
g,h,44999,0.014985949527532466
g,y,7456,0.002483060505284163
g,m,4898,0.001631173599098958
g,r,4803,0.0015995358914806647
g,k,4167,0.0013877297646887215
g,n,2877,0.0009581229980824219
g,l,2759,0.000918825634935489
g,t,1291,0.0004299397951075449
g,c,378,0.00012588477347068316
g,s,362,0.00012055631745076007
g,d,269,0.00008958466683495707
g,g,163,0.000054283645702966554
g,z,135,0.00004495884766810113
g,f,118,0.00003929736314693284
g,p,103,0.000034301935628254935
g,j,94,0.0000313046791170482
g,v,35,0.000011655997543581774
